,text,sentiment,text_lower,text_no_punct,text_no_digits,text_no_urls,tokens,tokens_no_stopwords,lemmatized_tokens,cleaned_text
0,"Awful, completely useless.",negative,"awful, completely useless.",awful completely useless,awful completely useless,awful completely useless,"['awful', 'completely', 'useless']","['awful', 'completely', 'useless']","['awful', 'completely', 'useless']",awful completely useless
1,Highly recommend to everyone.,positive,highly recommend to everyone.,highly recommend to everyone,highly recommend to everyone,highly recommend to everyone,"['highly', 'recommend', 'to', 'everyone']","['highly', 'recommend', 'everyone']","['highly', 'recommend', 'everyone']",highly recommend everyone
2,Worst experience ever.,negative,worst experience ever.,worst experience ever,worst experience ever,worst experience ever,"['worst', 'experience', 'ever']","['worst', 'experience', 'ever']","['worst', 'experience', 'ever']",worst experience ever
3,Top-notch service and product.,positive,top-notch service and product.,topnotch service and product,topnotch service and product,topnotch service and product,"['topnotch', 'service', 'and', 'product']","['topnotch', 'service', 'product']","['topnotch', 'service', 'product']",topnotch service product
4,Not worth the money.,negative,not worth the money.,not worth the money,not worth the money,not worth the money,"['not', 'worth', 'the', 'money']","['worth', 'money']","['worth', 'money']",worth money
5,One star.,negative,one star.,one star,one star,one star,"['one', 'star']","['one', 'star']","['one', 'star']",one star
6,Will never buy again.,negative,will never buy again.,will never buy again,will never buy again,will never buy again,"['will', 'never', 'buy', 'again']","['never', 'buy']","['never', 'buy']",never buy
7,Amazing experience!,positive,amazing experience!,amazing experience,amazing experience,amazing experience,"['amazing', 'experience']","['amazing', 'experience']","['amazing', 'experience']",amazing experience
8,Decent but not outstanding.,neutral,decent but not outstanding.,decent but not outstanding,decent but not outstanding,decent but not outstanding,"['decent', 'but', 'not', 'outstanding']","['decent', 'outstanding']","['decent', 'outstanding']",decent outstanding
9,Will never buy again.,negative,will never buy again.,will never buy again,will never buy again,will never buy again,"['will', 'never', 'buy', 'again']","['never', 'buy']","['never', 'buy']",never buy
10,Satisfactory but not impressive.,neutral,satisfactory but not impressive.,satisfactory but not impressive,satisfactory but not impressive,satisfactory but not impressive,"['satisfactory', 'but', 'not', 'impressive']","['satisfactory', 'impressive']","['satisfactory', 'impressive']",satisfactory impressive
11,Very satisfied and happy.,positive,very satisfied and happy.,very satisfied and happy,very satisfied and happy,very satisfied and happy,"['very', 'satisfied', 'and', 'happy']","['satisfied', 'happy']","['satisfied', 'happy']",satisfied happy
12,Five stars!,positive,five stars!,five stars,five stars,five stars,"['five', 'stars']","['five', 'stars']","['five', 'star']",five star
13,Fantastic product and great service.,positive,fantastic product and great service.,fantastic product and great service,fantastic product and great service,fantastic product and great service,"['fantastic', 'product', 'and', 'great', 'service']","['fantastic', 'product', 'great', 'service']","['fantastic', 'product', 'great', 'service']",fantastic product great service
14,"Bad quality, poor service.",negative,"bad quality, poor service.",bad quality poor service,bad quality poor service,bad quality poor service,"['bad', 'quality', 'poor', 'service']","['bad', 'quality', 'poor', 'service']","['bad', 'quality', 'poor', 'service']",bad quality poor service
15,Decent but not outstanding.,neutral,decent but not outstanding.,decent but not outstanding,decent but not outstanding,decent but not outstanding,"['decent', 'but', 'not', 'outstanding']","['decent', 'outstanding']","['decent', 'outstanding']",decent outstanding
16,Moderate satisfaction.,neutral,moderate satisfaction.,moderate satisfaction,moderate satisfaction,moderate satisfaction,"['moderate', 'satisfaction']","['moderate', 'satisfaction']","['moderate', 'satisfaction']",moderate satisfaction
17,Exceeded my expectations.,positive,exceeded my expectations.,exceeded my expectations,exceeded my expectations,exceeded my expectations,"['exceeded', 'my', 'expectations']","['exceeded', 'expectations']","['exceeded', 'expectation']",exceeded expectation
18,One star.,negative,one star.,one star,one star,one star,"['one', 'star']","['one', 'star']","['one', 'star']",one star
19,Amazing experience!,positive,amazing experience!,amazing experience,amazing experience,amazing experience,"['amazing', 'experience']","['amazing', 'experience']","['amazing', 'experience']",amazing experience
20,Moderate satisfaction.,neutral,moderate satisfaction.,moderate satisfaction,moderate satisfaction,moderate satisfaction,"['moderate', 'satisfaction']","['moderate', 'satisfaction']","['moderate', 'satisfaction']",moderate satisfaction
21,One star.,negative,one star.,one star,one star,one star,"['one', 'star']","['one', 'star']","['one', 'star']",one star
22,"Average product, average service.",neutral,"average product, average service.",average product average service,average product average service,average product average service,"['average', 'product', 'average', 'service']","['average', 'product', 'average', 'service']","['average', 'product', 'average', 'service']",average product average service
23,Just fine for the price.,neutral,just fine for the price.,just fine for the price,just fine for the price,just fine for the price,"['just', 'fine', 'for', 'the', 'price']","['fine', 'price']","['fine', 'price']",fine price
24,"Meets expectations, nothing more.",neutral,"meets expectations, nothing more.",meets expectations nothing more,meets expectations nothing more,meets expectations nothing more,"['meets', 'expectations', 'nothing', 'more']","['meets', 'expectations', 'nothing']","['meet', 'expectation', 'nothing']",meet expectation nothing
25,"Awful, completely useless.",negative,"awful, completely useless.",awful completely useless,awful completely useless,awful completely useless,"['awful', 'completely', 'useless']","['awful', 'completely', 'useless']","['awful', 'completely', 'useless']",awful completely useless
26,Highly recommend to everyone.,positive,highly recommend to everyone.,highly recommend to everyone,highly recommend to everyone,highly recommend to everyone,"['highly', 'recommend', 'to', 'everyone']","['highly', 'recommend', 'everyone']","['highly', 'recommend', 'everyone']",highly recommend everyone
27,"It's okay, nothing special.",neutral,"it's okay, nothing special.",its okay nothing special,its okay nothing special,its okay nothing special,"['its', 'okay', 'nothing', 'special']","['okay', 'nothing', 'special']","['okay', 'nothing', 'special']",okay nothing special
28,Amazing experience!,positive,amazing experience!,amazing experience,amazing experience,amazing experience,"['amazing', 'experience']","['amazing', 'experience']","['amazing', 'experience']",amazing experience
29,Highly recommend to everyone.,positive,highly recommend to everyone.,highly recommend to everyone,highly recommend to everyone,highly recommend to everyone,"['highly', 'recommend', 'to', 'everyone']","['highly', 'recommend', 'everyone']","['highly', 'recommend', 'everyone']",highly recommend everyone
30,"Terrible quality, very disappointed.",negative,"terrible quality, very disappointed.",terrible quality very disappointed,terrible quality very disappointed,terrible quality very disappointed,"['terrible', 'quality', 'very', 'disappointed']","['terrible', 'quality', 'disappointed']","['terrible', 'quality', 'disappointed']",terrible quality disappointed
31,Fantastic product and great service.,positive,fantastic product and great service.,fantastic product and great service,fantastic product and great service,fantastic product and great service,"['fantastic', 'product', 'and', 'great', 'service']","['fantastic', 'product', 'great', 'service']","['fantastic', 'product', 'great', 'service']",fantastic product great service
32,"Meets expectations, nothing more.",neutral,"meets expectations, nothing more.",meets expectations nothing more,meets expectations nothing more,meets expectations nothing more,"['meets', 'expectations', 'nothing', 'more']","['meets', 'expectations', 'nothing']","['meet', 'expectation', 'nothing']",meet expectation nothing
33,"It's okay, nothing special.",neutral,"it's okay, nothing special.",its okay nothing special,its okay nothing special,its okay nothing special,"['its', 'okay', 'nothing', 'special']","['okay', 'nothing', 'special']","['okay', 'nothing', 'special']",okay nothing special
34,"Superb quality, would buy again!",positive,"superb quality, would buy again!",superb quality would buy again,superb quality would buy again,superb quality would buy again,"['superb', 'quality', 'would', 'buy', 'again']","['superb', 'quality', 'would', 'buy']","['superb', 'quality', 'would', 'buy']",superb quality would buy
35,"Meets expectations, nothing more.",neutral,"meets expectations, nothing more.",meets expectations nothing more,meets expectations nothing more,meets expectations nothing more,"['meets', 'expectations', 'nothing', 'more']","['meets', 'expectations', 'nothing']","['meet', 'expectation', 'nothing']",meet expectation nothing
36,Amazing experience!,positive,amazing experience!,amazing experience,amazing experience,amazing experience,"['amazing', 'experience']","['amazing', 'experience']","['amazing', 'experience']",amazing experience
37,Fantastic product and great service.,positive,fantastic product and great service.,fantastic product and great service,fantastic product and great service,fantastic product and great service,"['fantastic', 'product', 'and', 'great', 'service']","['fantastic', 'product', 'great', 'service']","['fantastic', 'product', 'great', 'service']",fantastic product great service
38,Worst experience ever.,negative,worst experience ever.,worst experience ever,worst experience ever,worst experience ever,"['worst', 'experience', 'ever']","['worst', 'experience', 'ever']","['worst', 'experience', 'ever']",worst experience ever
39,Moderate satisfaction.,neutral,moderate satisfaction.,moderate satisfaction,moderate satisfaction,moderate satisfaction,"['moderate', 'satisfaction']","['moderate', 'satisfaction']","['moderate', 'satisfaction']",moderate satisfaction
40,Very dissatisfied with the purchase.,negative,very dissatisfied with the purchase.,very dissatisfied with the purchase,very dissatisfied with the purchase,very dissatisfied with the purchase,"['very', 'dissatisfied', 'with', 'the', 'purchase']","['dissatisfied', 'purchase']","['dissatisfied', 'purchase']",dissatisfied purchase
41,"Awful, completely useless.",negative,"awful, completely useless.",awful completely useless,awful completely useless,awful completely useless,"['awful', 'completely', 'useless']","['awful', 'completely', 'useless']","['awful', 'completely', 'useless']",awful completely useless
42,Just fine for the price.,neutral,just fine for the price.,just fine for the price,just fine for the price,just fine for the price,"['just', 'fine', 'for', 'the', 'price']","['fine', 'price']","['fine', 'price']",fine price
43,Extremely unhappy with the product.,negative,extremely unhappy with the product.,extremely unhappy with the product,extremely unhappy with the product,extremely unhappy with the product,"['extremely', 'unhappy', 'with', 'the', 'product']","['extremely', 'unhappy', 'product']","['extremely', 'unhappy', 'product']",extremely unhappy product
44,Not worth the money.,negative,not worth the money.,not worth the money,not worth the money,not worth the money,"['not', 'worth', 'the', 'money']","['worth', 'money']","['worth', 'money']",worth money
45,Absolutely loved it!,positive,absolutely loved it!,absolutely loved it,absolutely loved it,absolutely loved it,"['absolutely', 'loved', 'it']","['absolutely', 'loved']","['absolutely', 'loved']",absolutely loved
46,Not worth the money.,negative,not worth the money.,not worth the money,not worth the money,not worth the money,"['not', 'worth', 'the', 'money']","['worth', 'money']","['worth', 'money']",worth money
47,Satisfactory but not impressive.,neutral,satisfactory but not impressive.,satisfactory but not impressive,satisfactory but not impressive,satisfactory but not impressive,"['satisfactory', 'but', 'not', 'impressive']","['satisfactory', 'impressive']","['satisfactory', 'impressive']",satisfactory impressive
48,Five stars!,positive,five stars!,five stars,five stars,five stars,"['five', 'stars']","['five', 'stars']","['five', 'star']",five star
49,Not worth the money.,negative,not worth the money.,not worth the money,not worth the money,not worth the money,"['not', 'worth', 'the', 'money']","['worth', 'money']","['worth', 'money']",worth money
50,Exceeded my expectations.,positive,exceeded my expectations.,exceeded my expectations,exceeded my expectations,exceeded my expectations,"['exceeded', 'my', 'expectations']","['exceeded', 'expectations']","['exceeded', 'expectation']",exceeded expectation
51,Amazing experience!,positive,amazing experience!,amazing experience,amazing experience,amazing experience,"['amazing', 'experience']","['amazing', 'experience']","['amazing', 'experience']",amazing experience
52,Fantastic product and great service.,positive,fantastic product and great service.,fantastic product and great service,fantastic product and great service,fantastic product and great service,"['fantastic', 'product', 'and', 'great', 'service']","['fantastic', 'product', 'great', 'service']","['fantastic', 'product', 'great', 'service']",fantastic product great service
53,Fantastic product and great service.,positive,fantastic product and great service.,fantastic product and great service,fantastic product and great service,fantastic product and great service,"['fantastic', 'product', 'and', 'great', 'service']","['fantastic', 'product', 'great', 'service']","['fantastic', 'product', 'great', 'service']",fantastic product great service
54,Neither good nor bad.,neutral,neither good nor bad.,neither good nor bad,neither good nor bad,neither good nor bad,"['neither', 'good', 'nor', 'bad']","['neither', 'good', 'bad']","['neither', 'good', 'bad']",neither good bad
55,Total waste of money.,negative,total waste of money.,total waste of money,total waste of money,total waste of money,"['total', 'waste', 'of', 'money']","['total', 'waste', 'money']","['total', 'waste', 'money']",total waste money
56,"Awful, completely useless.",negative,"awful, completely useless.",awful completely useless,awful completely useless,awful completely useless,"['awful', 'completely', 'useless']","['awful', 'completely', 'useless']","['awful', 'completely', 'useless']",awful completely useless
57,Total waste of money.,negative,total waste of money.,total waste of money,total waste of money,total waste of money,"['total', 'waste', 'of', 'money']","['total', 'waste', 'money']","['total', 'waste', 'money']",total waste money
58,Satisfactory but not impressive.,neutral,satisfactory but not impressive.,satisfactory but not impressive,satisfactory but not impressive,satisfactory but not impressive,"['satisfactory', 'but', 'not', 'impressive']","['satisfactory', 'impressive']","['satisfactory', 'impressive']",satisfactory impressive
59,Absolutely loved it!,positive,absolutely loved it!,absolutely loved it,absolutely loved it,absolutely loved it,"['absolutely', 'loved', 'it']","['absolutely', 'loved']","['absolutely', 'loved']",absolutely loved
60,Five stars!,positive,five stars!,five stars,five stars,five stars,"['five', 'stars']","['five', 'stars']","['five', 'star']",five star
61,Fantastic product and great service.,positive,fantastic product and great service.,fantastic product and great service,fantastic product and great service,fantastic product and great service,"['fantastic', 'product', 'and', 'great', 'service']","['fantastic', 'product', 'great', 'service']","['fantastic', 'product', 'great', 'service']",fantastic product great service
62,Very dissatisfied with the purchase.,negative,very dissatisfied with the purchase.,very dissatisfied with the purchase,very dissatisfied with the purchase,very dissatisfied with the purchase,"['very', 'dissatisfied', 'with', 'the', 'purchase']","['dissatisfied', 'purchase']","['dissatisfied', 'purchase']",dissatisfied purchase
63,Acceptable quality.,neutral,acceptable quality.,acceptable quality,acceptable quality,acceptable quality,"['acceptable', 'quality']","['acceptable', 'quality']","['acceptable', 'quality']",acceptable quality
64,Extremely unhappy with the product.,negative,extremely unhappy with the product.,extremely unhappy with the product,extremely unhappy with the product,extremely unhappy with the product,"['extremely', 'unhappy', 'with', 'the', 'product']","['extremely', 'unhappy', 'product']","['extremely', 'unhappy', 'product']",extremely unhappy product
65,Highly recommend to everyone.,positive,highly recommend to everyone.,highly recommend to everyone,highly recommend to everyone,highly recommend to everyone,"['highly', 'recommend', 'to', 'everyone']","['highly', 'recommend', 'everyone']","['highly', 'recommend', 'everyone']",highly recommend everyone
66,Satisfactory but not impressive.,neutral,satisfactory but not impressive.,satisfactory but not impressive,satisfactory but not impressive,satisfactory but not impressive,"['satisfactory', 'but', 'not', 'impressive']","['satisfactory', 'impressive']","['satisfactory', 'impressive']",satisfactory impressive
67,Fantastic product and great service.,positive,fantastic product and great service.,fantastic product and great service,fantastic product and great service,fantastic product and great service,"['fantastic', 'product', 'and', 'great', 'service']","['fantastic', 'product', 'great', 'service']","['fantastic', 'product', 'great', 'service']",fantastic product great service
68,"It's okay, nothing special.",neutral,"it's okay, nothing special.",its okay nothing special,its okay nothing special,its okay nothing special,"['its', 'okay', 'nothing', 'special']","['okay', 'nothing', 'special']","['okay', 'nothing', 'special']",okay nothing special
69,"Awful, completely useless.",negative,"awful, completely useless.",awful completely useless,awful completely useless,awful completely useless,"['awful', 'completely', 'useless']","['awful', 'completely', 'useless']","['awful', 'completely', 'useless']",awful completely useless
70,Standard experience.,neutral,standard experience.,standard experience,standard experience,standard experience,"['standard', 'experience']","['standard', 'experience']","['standard', 'experience']",standard experience
71,Absolutely loved it!,positive,absolutely loved it!,absolutely loved it,absolutely loved it,absolutely loved it,"['absolutely', 'loved', 'it']","['absolutely', 'loved']","['absolutely', 'loved']",absolutely loved
72,Very satisfied and happy.,positive,very satisfied and happy.,very satisfied and happy,very satisfied and happy,very satisfied and happy,"['very', 'satisfied', 'and', 'happy']","['satisfied', 'happy']","['satisfied', 'happy']",satisfied happy
73,Satisfactory but not impressive.,neutral,satisfactory but not impressive.,satisfactory but not impressive,satisfactory but not impressive,satisfactory but not impressive,"['satisfactory', 'but', 'not', 'impressive']","['satisfactory', 'impressive']","['satisfactory', 'impressive']",satisfactory impressive
74,"It's okay, nothing special.",neutral,"it's okay, nothing special.",its okay nothing special,its okay nothing special,its okay nothing special,"['its', 'okay', 'nothing', 'special']","['okay', 'nothing', 'special']","['okay', 'nothing', 'special']",okay nothing special
75,Couldn't be happier.,positive,couldn't be happier.,couldnt be happier,couldnt be happier,couldnt be happier,"['couldnt', 'be', 'happier']","['couldnt', 'happier']","['couldnt', 'happier']",couldnt happier
76,Extremely unhappy with the product.,negative,extremely unhappy with the product.,extremely unhappy with the product,extremely unhappy with the product,extremely unhappy with the product,"['extremely', 'unhappy', 'with', 'the', 'product']","['extremely', 'unhappy', 'product']","['extremely', 'unhappy', 'product']",extremely unhappy product
77,"Meets expectations, nothing more.",neutral,"meets expectations, nothing more.",meets expectations nothing more,meets expectations nothing more,meets expectations nothing more,"['meets', 'expectations', 'nothing', 'more']","['meets', 'expectations', 'nothing']","['meet', 'expectation', 'nothing']",meet expectation nothing
78,Decent but not outstanding.,neutral,decent but not outstanding.,decent but not outstanding,decent but not outstanding,decent but not outstanding,"['decent', 'but', 'not', 'outstanding']","['decent', 'outstanding']","['decent', 'outstanding']",decent outstanding
79,Fantastic product and great service.,positive,fantastic product and great service.,fantastic product and great service,fantastic product and great service,fantastic product and great service,"['fantastic', 'product', 'and', 'great', 'service']","['fantastic', 'product', 'great', 'service']","['fantastic', 'product', 'great', 'service']",fantastic product great service
80,Couldn't be happier.,positive,couldn't be happier.,couldnt be happier,couldnt be happier,couldnt be happier,"['couldnt', 'be', 'happier']","['couldnt', 'happier']","['couldnt', 'happier']",couldnt happier
81,Will never buy again.,negative,will never buy again.,will never buy again,will never buy again,will never buy again,"['will', 'never', 'buy', 'again']","['never', 'buy']","['never', 'buy']",never buy
82,"Meets expectations, nothing more.",neutral,"meets expectations, nothing more.",meets expectations nothing more,meets expectations nothing more,meets expectations nothing more,"['meets', 'expectations', 'nothing', 'more']","['meets', 'expectations', 'nothing']","['meet', 'expectation', 'nothing']",meet expectation nothing
83,Decent but not outstanding.,neutral,decent but not outstanding.,decent but not outstanding,decent but not outstanding,decent but not outstanding,"['decent', 'but', 'not', 'outstanding']","['decent', 'outstanding']","['decent', 'outstanding']",decent outstanding
84,Just fine for the price.,neutral,just fine for the price.,just fine for the price,just fine for the price,just fine for the price,"['just', 'fine', 'for', 'the', 'price']","['fine', 'price']","['fine', 'price']",fine price
85,"Awful, completely useless.",negative,"awful, completely useless.",awful completely useless,awful completely useless,awful completely useless,"['awful', 'completely', 'useless']","['awful', 'completely', 'useless']","['awful', 'completely', 'useless']",awful completely useless
86,Very satisfied and happy.,positive,very satisfied and happy.,very satisfied and happy,very satisfied and happy,very satisfied and happy,"['very', 'satisfied', 'and', 'happy']","['satisfied', 'happy']","['satisfied', 'happy']",satisfied happy
87,Worst experience ever.,negative,worst experience ever.,worst experience ever,worst experience ever,worst experience ever,"['worst', 'experience', 'ever']","['worst', 'experience', 'ever']","['worst', 'experience', 'ever']",worst experience ever
88,Will never buy again.,negative,will never buy again.,will never buy again,will never buy again,will never buy again,"['will', 'never', 'buy', 'again']","['never', 'buy']","['never', 'buy']",never buy
89,"Terrible quality, very disappointed.",negative,"terrible quality, very disappointed.",terrible quality very disappointed,terrible quality very disappointed,terrible quality very disappointed,"['terrible', 'quality', 'very', 'disappointed']","['terrible', 'quality', 'disappointed']","['terrible', 'quality', 'disappointed']",terrible quality disappointed
90,Just fine for the price.,neutral,just fine for the price.,just fine for the price,just fine for the price,just fine for the price,"['just', 'fine', 'for', 'the', 'price']","['fine', 'price']","['fine', 'price']",fine price
91,Exceeded my expectations.,positive,exceeded my expectations.,exceeded my expectations,exceeded my expectations,exceeded my expectations,"['exceeded', 'my', 'expectations']","['exceeded', 'expectations']","['exceeded', 'expectation']",exceeded expectation
92,Acceptable quality.,neutral,acceptable quality.,acceptable quality,acceptable quality,acceptable quality,"['acceptable', 'quality']","['acceptable', 'quality']","['acceptable', 'quality']",acceptable quality
93,Neither good nor bad.,neutral,neither good nor bad.,neither good nor bad,neither good nor bad,neither good nor bad,"['neither', 'good', 'nor', 'bad']","['neither', 'good', 'bad']","['neither', 'good', 'bad']",neither good bad
94,Five stars!,positive,five stars!,five stars,five stars,five stars,"['five', 'stars']","['five', 'stars']","['five', 'star']",five star
95,"Meets expectations, nothing more.",neutral,"meets expectations, nothing more.",meets expectations nothing more,meets expectations nothing more,meets expectations nothing more,"['meets', 'expectations', 'nothing', 'more']","['meets', 'expectations', 'nothing']","['meet', 'expectation', 'nothing']",meet expectation nothing
96,Just fine for the price.,neutral,just fine for the price.,just fine for the price,just fine for the price,just fine for the price,"['just', 'fine', 'for', 'the', 'price']","['fine', 'price']","['fine', 'price']",fine price
97,Will never buy again.,negative,will never buy again.,will never buy again,will never buy again,will never buy again,"['will', 'never', 'buy', 'again']","['never', 'buy']","['never', 'buy']",never buy
98,Moderate satisfaction.,neutral,moderate satisfaction.,moderate satisfaction,moderate satisfaction,moderate satisfaction,"['moderate', 'satisfaction']","['moderate', 'satisfaction']","['moderate', 'satisfaction']",moderate satisfaction
99,Decent but not outstanding.,neutral,decent but not outstanding.,decent but not outstanding,decent but not outstanding,decent but not outstanding,"['decent', 'but', 'not', 'outstanding']","['decent', 'outstanding']","['decent', 'outstanding']",decent outstanding
